Line by line,Fiscal Year   ,Employer (Petitioner) Name,Tax ID,Industry (NAICS) Code,Petitioner City,Petitioner State,Petitioner Zip Code,Initial Approval,Initial Denial,Continuing Approval,Continuing Denial
118,2024,AL ADVISORS MANAGEMENT INC,9848,52 - Finance and Insurance,SAN FRANCISCO,CA,94133,1,0,2,0
119,2024,ALEGENT CREIGHTON CLINIC,5154,52 - Finance and Insurance,OMAHA,NE,68154,0,0,1,0
120,2024,ALFA MUTUAL INSURANCE COMPANY,2164,52 - Finance and Insurance,MONTGOMERY,AL,36116,4,0,9,0
121,2024,ALIGHT SOLUTIONS LLC,5791,52 - Finance and Insurance,CHICAGO,IL,60606,0,0,1,0
122,2024,ALIGHT SOLUTIONS LLC,5791,52 - Finance and Insurance,LINCOLNSHIRE,IL,60069,2,0,12,0
123,2024,ALIGNMENT HEALTHCARE INC,6242,52 - Finance and Insurance,ORANGE,CA,92868,1,0,5,0
124,2024,ALINEA INVEST INC,9566,52 - Finance and Insurance,NEW YORK,NY,10013,1,0,0,0
125,2024,ALKALI PARTNERS LLC,9656,52 - Finance and Insurance,PORTLAND,OR,97205,0,0,1,0
126,2024,ALKEON CAPITAL MANAGEMENT LLC,935,52 - Finance and Insurance,NEW YORK,NY,10017,0,0,1,0
127,2024,ALLEGIANCE FINANCIAL GROUP INC,740,52 - Finance and Insurance,SOUTH PORTLAND,ME,4106,1,0,0,0
128,2024,ALLIANCEBERNSTEIN L P,4930,52 - Finance and Insurance,NASHVILLE,TN,37203,12,0,43,0
129,2024,ALLIANCEBERNSTEIN L P,4930,52 - Finance and Insurance,NASHVILLE,TN,37219,1,0,3,0
130,2024,ALLIANT CREDIT UNION,6772,52 - Finance and Insurance,CHICAGO,IL,60666,1,0,3,0
131,2024,ALLIANT INSURANCE SERVICES INC,5439,52 - Finance and Insurance,IRVINE,CA,92612,2,0,2,0
132,2024,ALLIANZ GLOBAL RISKS US INSURANCE,7355,52 - Finance and Insurance,CHICAGO,IL,60606,4,0,0,0
133,2024,ALLIANZ TECHNOLOGY OF AMERICA INC,2261,52 - Finance and Insurance,MINNEAPOLIS,MN,55416,0,0,6,0
134,2024,ALLIED SOLUTIONS LLC,5376,52 - Finance and Insurance,CARMEL,IN,46032,0,0,1,0
135,2024,ALLIED WORLD NATIONAL ASSURANCE CO,3244,52 - Finance and Insurance,NEW YORK,NY,10038,1,0,0,0
136,2024,"ALLISON BASH INS AGENCY, INC",5368,52 - Finance and Insurance,MASCOUTAH,IL,62258,1,0,0,0
137,2024,ALLOCATERITE INC,6345,52 - Finance and Insurance,NEW YORK,NY,10005,1,0,0,0
138,2024,ALLSPRING GLOBAL INVESTMENTS HOLDINGS LLC,3445,52 - Finance and Insurance,CHARLOTTE,NC,28203,1,0,1,0
139,2024,ALLSPRING GLOBAL INVESTMENTS LLC,2822,52 - Finance and Insurance,CHARLOTTE,NC,28203,1,0,0,0
